column,missing_count,missing_pct
OBJECTID,0,0.0
FNODE_,0,0.0
TNODE_,0,0.0
LPOLY_,0,0.0
RPOLY_,0,0.0
LENGTH,0,0.0
CITYST_,0,0.0
CITYST_ID,0,0.0
FNODE_1,0,0.0
TNODE_1,0,0.0
LPOLY_1,0,0.0
RPOLY_1,0,0.0
CITYST2_,0,0.0
CITYST2_ID,0,0.0
LTYPE,0,0.0
GDT_ID2,0,0.0
GDT_,0,0.0
RECNUM,0,0.0
L_F_ADD,0,0.0
L_T_ADD,0,0.0
R_F_ADD,0,0.0
R_T_ADD,0,0.0
PREFIX,0,0.0
NAME,0,0.0
TYPE,0,0.0
SUFFIX,0,0.0
CFCC,0,0.0
TRACT90_L,0,0.0
TRACT90_R,0,0.0
BLOCK90_L,0,0.0
BLOCK90_R,0,0.0
L_F_IADD,0,0.0
L_T_IADD,0,0.0
R_F_IADD,0,0.0
R_T_IADD,0,0.0
FIPMCD90_L,0,0.0
FIPMCD90_R,0,0.0
FIPPLC90_L,0,0.0
FIPPLC90_R,0,0.0
FULLNAME,0,0.0
PAVE2,0,0.0
ST_FLAG,0,0.0
LINECODE,0,0.0
BLKSTREET,0,0.0
BG_L,0,0.0
BG_R,0,0.0
CTBNABG_L,0,0.0
CTBNABG_R,0,0.0
CITYST_I_1,0,0.0
BLK,0,0.0
Department,0,0.0
Project Year,0,0.0
Project Type,0,0.0
Status,0,0.0
GlobalID,0,0.0
CreationDate,0,0.0
Creator,0,0.0
EditDate,0,0.0
Editor,2,1.23
Estimated Project Start Date,136,83.95
Estimated Project End Date,154,95.06
