column,count,mean,std,min,25%,50%,75%,max
OBJECTID,162.0,3028.8456790123455,1462.7736461983,448.0,2003.25,3121.5,4276.0,5487.0
FNODE_,162.0,1949.5061728395062,937.9460197615341,332.0,1318.0,1888.0,2705.5,3605.0
TNODE_,162.0,1956.9135802469136,951.8454347296486,299.0,1281.5,2006.0,2765.0,3605.0
LPOLY_,162.0,1038.1049382716049,546.5653184246643,1.0,665.5,1081.0,1489.0,1892.0
RPOLY_,162.0,1006.7530864197531,549.9449781820741,1.0,637.5,1082.0,1454.5,1896.0
LENGTH,162.0,468.59421666666674,278.2847054159796,57.3595,287.1075,387.31,629.86325,1356.14
CITYST_,162.0,3028.8456790123455,1462.7736461983,448.0,2003.25,3121.5,4276.0,5487.0
CITYST_ID,162.0,3085.2654320987654,1401.3819035748975,270.0,1962.25,3153.5,4343.25,5504.0
FNODE_1,162.0,1950.2962962962963,938.2407939540966,332.0,1319.0,1889.0,2706.5,3606.0
TNODE_1,162.0,1957.6913580246915,952.1475385697089,299.0,1282.5,2007.0,2766.0,3606.0
LPOLY_1,162.0,-0.006172839506172839,0.07856742013183861,-1.0,0.0,0.0,0.0,0.0
RPOLY_1,162.0,-0.006172839506172839,0.07856742013183861,-1.0,0.0,0.0,0.0,0.0
CITYST2_,162.0,3085.2654320987654,1401.3819035748975,270.0,1962.25,3153.5,4343.25,5504.0
CITYST2_ID,162.0,17269.61111111111,3251.6001263973985,11673.0,15102.0,17144.0,19996.0,23353.0
LTYPE,162.0,1.0185185185185186,0.23570226039551584,1.0,1.0,1.0,1.0,4.0
GDT_ID2,162.0,12597963.617283951,92522.21091653439,12572140.0,12575225.0,12577676.5,12578915.75,13006016.0
GDT_,162.0,20523.586419753086,1593.0109646449478,17665.0,19349.5,20598.0,21572.75,23638.0
RECNUM,162.0,12576995.172839506,2344.366249714003,12572140.0,12575222.25,12577573.0,12578792.0,12580545.0
L_F_ADD,162.0,1268.641975308642,1096.964635434904,0.0,365.0,908.0,1976.0,4005.0
L_T_ADD,162.0,1345.7037037037037,1098.1166762437326,0.0,399.5,999.0,2074.0,4099.0
R_F_ADD,162.0,1267.7407407407406,1096.9350895801642,0.0,368.5,907.0,1975.0,4004.0
R_T_ADD,162.0,1344.8024691358025,1098.0821555632967,0.0,398.5,998.0,2073.0,4098.0
TRACT90_L,162.0,575.5555555555555,1536.0297777910653,1.0,31.0,46.0,54.0,6102.0
TRACT90_R,162.0,585.679012345679,1538.2910847899884,1.0,31.0,40.0,54.0,6103.0
BLOCK90_L,162.0,238.9814814814815,138.52736896754763,101.0,113.25,209.0,302.0,901.0
BLOCK90_R,162.0,258.10493827160496,143.15177230251186,101.0,113.0,218.0,307.75,607.0
L_F_IADD,162.0,0.006172839506172839,0.07856742013183861,0.0,0.0,0.0,0.0,1.0
L_T_IADD,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_F_IADD,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_T_IADD,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIPMCD90_L,162.0,73000.0,0.0,73000.0,73000.0,73000.0,73000.0,73000.0
FIPMCD90_R,162.0,72675.79012345678,4126.518040164428,20478.0,73000.0,73000.0,73000.0,73000.0
FIPPLC90_L,162.0,73000.0,0.0,73000.0,73000.0,73000.0,73000.0,73000.0
FIPPLC90_R,162.0,72675.72222222222,4127.382281785877,20467.0,73000.0,73000.0,73000.0,73000.0
PAVE2,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ST_FLAG,162.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
LINECODE,162.0,15.0,0.0,15.0,15.0,15.0,15.0,15.0
BG_L,162.0,2.302469135802469,1.396933225651707,1.0,1.0,2.0,3.0,9.0
BG_R,162.0,2.493827160493827,1.4413887091741575,1.0,1.0,2.0,3.0,6.0
CTBNABG_L,162.0,5757.858024691358,15359.924812537287,11.0,312.0,462.0,544.0,61021.0
CTBNABG_R,162.0,5859.283950617284,15382.443549664755,11.0,312.0,403.5,543.75,61031.0
CITYST_I_1,162.0,3085.2654320987654,1401.3819035748975,270.0,1962.25,3153.5,4343.25,5504.0
Project Year,162.0,2020.9876543209878,0.11076550806205039,2020.0,2021.0,2021.0,2021.0,2021.0
